dataset,M,policy_idx,source,J_pi,true_stability_spearman,true_stability_kendall,true_stability_top3
california,8,27,abc_visited,0.6437795097582583,0.8725232621784348,0.7592775041050903,0.7693486590038314
california,8,28,abc_visited,0.8375524086560945,0.8789819376026273,0.7847290640394088,0.8045977011494253
california,8,29,abc_visited,0.7292294366539908,0.7852216748768475,0.6454844006568143,0.6896551724137931
adult,14,0,random,0.6844223297827298,0.14356448149551598,0.10183150183150183,0.29501915708812254
adult,14,1,random,0.6711813120219222,0.25032209170140207,0.17807250221043325,0.389272030651341
adult,14,2,random,0.6976523771474599,0.27626121005431353,0.1976253631426045,0.4045977011494253
adult,14,3,random,0.7104754338809603,0.18700517872931668,0.13760262725779968,0.33486590038314173
adult,14,4,random,0.7624719306343591,0.2585272199065302,0.18701528356700772,0.4467432950191571
adult,14,5,random,0.755173571081085,0.20626499936844767,0.15311355311355312,0.335632183908046
adult,14,6,random,0.6452560910733739,0.18410509031198688,0.1301250473664267,0.3532567049808429
adult,14,7,random,0.5780287150574651,0.32016672982190225,0.239206770241253,0.38314176245210724
adult,14,8,random,0.7747477039429439,0.20657824933687005,0.14831375521030693,0.32873563218390806
adult,14,9,random,0.6953380316445954,0.34792471895920174,0.2526967285587975,0.4651340996168582
adult,14,10,abc_visited,0.748796325427443,0.2139648856890236,0.1523556902867248,0.3386973180076628
adult,14,11,abc_visited,0.605830241982258,0.2803536693191866,0.2030819754957686,0.31724137931034485
adult,14,12,abc_visited,0.6243673303173142,0.2750688392067703,0.2010104837691045,0.39616858237547886
adult,14,13,abc_visited,0.6901880773863502,0.22887962612100543,0.16261210054313502,0.3647509578544061
adult,14,14,abc_visited,0.6786298979807176,0.31326512567891884,0.2288998357963875,0.44061302681992337
adult,14,15,abc_visited,0.6445234166329596,0.23375015788808892,0.16837185802703045,0.37318007662835245
adult,14,16,abc_visited,0.704389795179124,0.3898597953770368,0.2913477327270431,0.3931034482758621
adult,14,17,abc_visited,0.6901411885823666,0.15126436781609198,0.10956170266515095,0.3425287356321839
adult,14,18,abc_visited,0.5947226463648904,0.27758494379184034,0.2023241126689403,0.34789272030651336
adult,14,19,abc_visited,0.7408883063549524,0.3411645825438929,0.25345459138562587,0.30727969348659
adult,14,20,abc_visited,0.6829821224308602,0.18575217885562714,0.13381331312365793,0.3670498084291188
adult,14,21,abc_visited,0.6431947717138173,0.4159403814576228,0.3148920045471769,0.46973180076628357
adult,14,22,abc_visited,0.826160170351314,0.4701023114816219,0.36066691928760897,0.5026819923371648
adult,14,23,abc_visited,0.7502262531539446,0.3186004799797903,0.23183023872679046,0.39846743295019155
adult,14,24,abc_visited,0.6192695995321172,0.36257673361121645,0.27391688770999123,0.44980842911877383
adult,14,25,abc_visited,0.576867809719094,0.43624100037893143,0.3521283314386763,0.4896551724137931
adult,14,26,abc_visited,0.773512228912718,0.34921813818365544,0.2623468485537451,0.35172413793103446
adult,14,27,abc_visited,0.6525283548351093,0.16506757610205888,0.11971706454465075,0.3340996168582375
adult,14,28,abc_visited,0.6216622528904352,0.19677655677655678,0.14371605406088164,0.3839080459770115
adult,14,29,abc_visited,0.6626402327950808,0.28467853985095365,0.20606290261462673,0.39080459770114945
credit,23,0,random,0.7624796424882819,0.1661805460905911,0.11713234291944935,0.20306513409961688
credit,23,1,random,0.8167058688914313,0.27144609513425105,0.19694698105492708,0.32030651340996164
credit,23,2,random,0.7686743064673119,0.29531824996592615,0.21241197583026666,0.20842911877394635
credit,23,3,random,0.7474981305355314,0.20975194221071286,0.14397346781154877,0.25210727969348656
credit,23,4,random,0.7962291989230351,0.314778974149289,0.23292899005042936,0.24904214559386975
credit,23,5,random,0.6851739933571476,0.14854845304620418,0.10399345781654629,0.2835249042145594
credit,23,6,random,0.728639301857322,0.2627345418199991,0.1889328063241107,0.25057471264367814
credit,23,7,random,0.6291079322277028,0.11203943482804052,0.07720685111989462,0.2015325670498084
credit,23,8,random,0.6991497990036765,0.1863772659124983,0.13199763754486396,0.22528735632183908
credit,23,9,random,0.7941072280116768,0.08605924310571986,0.05874335559492981,0.19310344827586207
credit,23,10,abc_visited,0.8245265040407869,0.14880514288310387,0.1050838217255009,0.1946360153256705
credit,23,11,abc_visited,0.782298097944311,0.24116805233746763,0.17503066648493937,0.16551724137931034
credit,23,12,abc_visited,0.6770048260716173,0.24598382626868387,0.18037344963881696,0.19386973180076628
credit,23,13,abc_visited,0.8084133749698903,0.2857571214392804,0.20416155558584345,0.3080459770114943
credit,23,14,abc_visited,0.7238966801860651,0.18677025123801738,0.13385125619008678,0.2367816091954023
credit,23,15,abc_visited,0.7161097250096774,0.07307028304029803,0.05042024442324292,0.18620689655172415
credit,23,16,abc_visited,0.7349606494829868,0.16016310026804784,0.11731407023760848,0.1946360153256705
credit,23,17,abc_visited,0.8233417952518501,0.2399050474762619,0.1706873835809368,0.20306513409961685
credit,23,18,abc_visited,0.6112756692858006,0.14206078778792422,0.10134023897142339,0.1961685823754789
credit,23,19,abc_visited,0.687384468177817,0.09035709418018263,0.0658125482713189,0.1632183908045977
credit,23,20,abc_visited,0.6996430747358607,0.11286856571714143,0.07949661532869928,0.16628352490421455
credit,23,21,abc_visited,0.8128126811140755,0.10818681568306757,0.08004179728317659,0.19233716475095783
credit,23,22,abc_visited,0.6761869902825337,0.06474944346008812,0.04509563400118123,0.1532567049808429
credit,23,23,abc_visited,0.7800495756352657,0.03555267820635137,0.024796692562809506,0.13563218390804596
credit,23,24,abc_visited,0.7968632823081906,0.06339784653127982,0.04120666939257644,0.18390804597701146
credit,23,25,abc_visited,0.7958492151968947,0.12705465449093636,0.08910999045931581,0.19923371647509577
credit,23,26,abc_visited,0.7759172214061262,0.24124755803916226,0.18191813184316932,0.23448275862068965
credit,23,27,abc_visited,0.7285996737746847,0.09401208486665757,0.0654672663668166,0.17854406130268197
credit,23,28,abc_visited,0.7016851358232794,0.2936440870473854,0.21010403888964607,0.23448275862068965
credit,23,29,abc_visited,0.7400295370002675,0.07933760392531007,0.05392758166371359,0.21839080459770116
