dataset,model,instance_idx,method,spearman_mean,spearman_std,mse_mean,mse_std,n_budget,k_runs
california,rf,5,dirichlet_strong,0.9063492063492063,0.06704353041886627,0.0033010599122191057,0.003971820098010471,5000,30
california,rf,5,b1_uniform,0.9476190476190476,0.0142857142857143,0.001040057701205511,0.0002875309890509446,5000,30
california,rf,5,b2_stratified,0.9960317460317459,0.008873285624999134,7.801403161000403e-05,7.297669555019443e-05,5000,30
california,rf,6,abc_corrected,0.9190476190476192,0.09692942629061603,0.020814282952343964,0.022974590082309922,5000,30
california,rf,6,dirichlet_strong,0.8960317460317461,0.12007230961552774,0.02607970586415414,0.02588984055107066,5000,30
california,rf,6,b1_uniform,0.9960317460317459,0.008873285624999134,0.0008511733270305619,0.0004187829563432807,5000,30
california,rf,6,b2_stratified,0.973015873015873,0.03463083210995462,0.0006241441005237703,0.0007064188008173794,5000,30
california,rf,7,abc_corrected,0.9825396825396825,0.01365448455086128,0.001058143674636748,0.0011859594887615112,5000,30
california,rf,7,dirichlet_strong,0.9801587301587301,0.018527964333220216,0.0016054000215090665,0.001634005258894562,5000,30
california,rf,7,b1_uniform,0.9992063492063491,0.004273940323122608,0.0003270765965109665,9.103630618029072e-05,5000,30
california,rf,7,b2_stratified,0.9968253968253968,0.008093681767607564,5.049303080800025e-05,4.823222719959355e-05,5000,30
california,rf,8,abc_corrected,0.8777777777777779,0.08332955395813767,0.012073857833784736,0.012584132856741596,5000,30
california,rf,8,dirichlet_strong,0.8674603174603176,0.0986843409227677,0.017145444847403973,0.015037501418941437,5000,30
california,rf,8,b1_uniform,0.9753968253968253,0.01893152451091515,0.0006251501567946462,0.00037822324905319567,5000,30
california,rf,8,b2_stratified,0.9888888888888888,0.013374840909803707,0.0004178700576413096,0.00037711656106533686,5000,30
california,rf,9,abc_corrected,0.8253968253968255,0.10089046718775047,0.015331412772094825,0.014620237082751324,5000,30
california,rf,9,dirichlet_strong,0.8674603174603174,0.12579052121689108,0.01744058267710709,0.01983449785040681,5000,30
california,rf,9,b1_uniform,0.8087301587301587,0.04280567161956125,0.0015233269870153021,0.0006485282803586664,5000,30
california,rf,9,b2_stratified,0.9793650793650793,0.01595218352558869,0.0003814923793492222,0.00028052010155030466,5000,30
california,mlp,0,abc_corrected,0.9642857142857142,0.052073411753410286,0.008201800144736846,0.008911399991895046,5000,30
california,mlp,0,dirichlet_strong,0.973015873015873,0.021936944382675006,0.010222356753474847,0.011352618438961131,5000,30
california,mlp,0,b1_uniform,0.9849206349206349,0.014395521545410326,0.0012029138248260966,0.0006896845995291648,5000,30
california,mlp,0,b2_stratified,0.9833333333333333,0.015245533898649608,0.00044639029726254917,0.0002791499303624216,5000,30
california,mlp,1,abc_corrected,0.9777777777777777,0.028791043090820687,0.002544666856665825,0.0019801433449575024,5000,30
california,mlp,1,dirichlet_strong,0.9547619047619047,0.052290687015965474,0.002255620799959115,0.0026695855836717922,5000,30
california,mlp,1,b1_uniform,0.9690476190476188,0.015245533898649626,0.0015602892014247452,0.0003632868659346252,5000,30
california,mlp,1,b2_stratified,0.9809523809523809,0.015552315827194753,6.563918744967808e-05,4.4575710838225304e-05,5000,30
california,mlp,2,abc_corrected,0.9134920634920632,0.07979644675730843,0.01375089748824031,0.010725643163996755,5000,30
california,mlp,2,dirichlet_strong,0.9261904761904761,0.08117383341969488,0.010475968249639088,0.010734833060154025,5000,30
california,mlp,2,b1_uniform,0.9246031746031744,0.008873285624999217,0.008356870790677791,0.0013996069363401036,5000,30
california,mlp,2,b2_stratified,0.9968253968253968,0.008093681767607564,0.00027336562542772103,0.00020792958825401904,5000,30
california,mlp,3,abc_corrected,0.811904761904762,0.18446363586193457,0.07006100644014485,0.06773416200780114,5000,30
california,mlp,3,dirichlet_strong,0.7428571428571428,0.2139680184634378,0.059559621887662666,0.08423188583955828,5000,30
california,mlp,3,b1_uniform,0.8531746031746034,0.05569709860165952,0.004854111091224351,0.0027786386389630625,5000,30
california,mlp,3,b2_stratified,0.9793650793650793,0.029311405258125953,0.0015371508624002258,0.0015089134919755091,5000,30
california,mlp,4,abc_corrected,0.8365079365079365,0.11026891703465654,0.018996120264946303,0.01659898555782525,5000,30
california,mlp,4,dirichlet_strong,0.8912698412698412,0.10114300162406603,0.01890850494510218,0.023018027021847513,5000,30
california,mlp,4,b1_uniform,0.9349206349206349,0.052139897478275674,0.0009447590215123961,0.0003796284605751234,5000,30
california,mlp,4,b2_stratified,0.9674603174603177,0.047413577876964555,0.00030579598570265083,0.0002515391301068188,5000,30
california,mlp,5,abc_corrected,0.9198412698412699,0.03911498898524318,0.035555051533286766,0.03062015707001466,5000,30
california,mlp,5,dirichlet_strong,0.9166666666666665,0.030583887092059843,0.04276086462282237,0.043861915630006215,5000,30
california,mlp,5,b1_uniform,0.8944444444444443,0.057236475340008836,0.001141989986303701,0.0005859800400926382,5000,30
california,mlp,5,b2_stratified,0.9698412698412696,0.026033681693423346,0.0008832578966628514,0.0007827971670657586,5000,30
california,mlp,6,abc_corrected,0.7682539682539684,0.13369188374124166,0.008975613717827161,0.006869250849740987,5000,30
california,mlp,6,dirichlet_strong,0.8388888888888889,0.11396836450452257,0.006204392045264419,0.005418181807559543,5000,30
california,mlp,6,b1_uniform,0.9238095238095237,0.009523809523809578,0.0008689790204765636,0.00022304562405387875,5000,30
california,mlp,6,b2_stratified,0.9476190476190477,0.03098289094594149,0.00014106022904431092,9.473807246500977e-05,5000,30
california,mlp,7,abc_corrected,0.9785714285714284,0.01776430895682489,0.002941746106809335,0.0025750683690193414,5000,30
california,mlp,7,dirichlet_strong,0.9793650793650793,0.017095761292490463,0.0030651206076389177,0.003384358064562065,5000,30
california,mlp,7,b1_uniform,0.9849206349206348,0.011473676424445167,0.00040470670215511423,0.0001658767514590247,5000,30
california,mlp,7,b2_stratified,1.0,0.0,9.13442402507537e-05,7.189682655489769e-05,5000,30
california,mlp,8,abc_corrected,0.9658730158730157,0.036722969210346894,0.05284406018727979,0.0645101935137986,5000,30
california,mlp,8,dirichlet_strong,0.965079365079365,0.0346308321099546,0.03290189040956947,0.03408924462124834,5000,30
california,mlp,8,b1_uniform,1.0,0.0,0.00641024778408356,0.0017822474339587158,5000,30
california,mlp,8,b2_stratified,0.9928571428571428,0.01091089451179958,0.0007062259826810141,0.0007664339055080519,5000,30
california,mlp,9,abc_corrected,0.942063492063492,0.058864068700916344,0.009679393701453395,0.01106125661722509,5000,30
california,mlp,9,dirichlet_strong,0.9595238095238093,0.030210898905832166,0.012101299507949413,0.010991303574557963,5000,30
california,mlp,9,b1_uniform,0.9777777777777776,0.01219229483788665,0.0015200236620034418,0.0004170655255068479,5000,30
california,mlp,9,b2_stratified,1.0,0.0,0.0001497746324149996,9.628997503812346e-05,5000,30
adult,ridge,0,abc_corrected,0.96014652014652,0.04278187561150551,0.0010152667347001724,0.0009890935818067754,5000,30
adult,ridge,0,dirichlet_strong,0.9578021978021977,0.04288211914274812,0.0010552199751365549,0.0009287176793058969,5000,30
adult,ridge,0,b1_uniform,0.9624908424908425,0.02013466184474946,0.0005320181202747714,0.0002319756391273724,5000,30
adult,ridge,0,b2_stratified,0.9954578754578755,0.0028898289997532495,5.9968564469586394e-05,5.641008893604653e-05,5000,30
adult,ridge,1,abc_corrected,0.8933333333333334,0.06961110326990196,0.0005198861644294429,0.000419903419413011,5000,30
adult,ridge,1,dirichlet_strong,0.9097435897435898,0.06631133416657578,0.0005825379681983007,0.0006336959876039316,5000,30
adult,ridge,1,b1_uniform,0.9112087912087913,0.053863643717065104,0.000158438287891756,6.986092839199245e-05,5000,30
adult,ridge,1,b2_stratified,0.9797802197802199,0.014202632458376682,3.835293441002982e-05,1.885666608539383e-05,5000,30
adult,ridge,2,abc_corrected,0.9636630036630038,0.04580623794283011,0.0002967417345937355,0.0002857049454446948,5000,30
